experiment,check,metric,expected,left_value,right_value,direction,axiom_respected,diagnostic_status
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,LMP_geometric_lambda_0.7,M2_exact_log_language >= M3_larger_than_log,1.0,0.5,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,LMP_power_law_alpha_2.0,M2_exact_log_language >= M3_larger_than_log,1.0,0.5,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,pm4py_fitness_alignments,M2_exact_log_language >= M3_larger_than_log,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",non_increasing,,not_applicable_fitness_metric
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,pm4py_fitness_token_based_replay,M2_exact_log_language >= M3_larger_than_log,"{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}","{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}",non_increasing,,not_applicable_fitness_metric
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,pm4py_precision_alignments,M2_exact_log_language >= M3_larger_than_log,1.0,0.6666666666666667,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,pm4py_precision_footprints,M2_exact_log_language >= M3_larger_than_log,1.0,0.5,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,pm4py_precision_token_based_replay,M2_exact_log_language >= M3_larger_than_log,1.0,0.6666666666666667,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,stochastic_emd_power_law_prior,M2_exact_log_language >= M3_larger_than_log,1.0,0.8333333333333334,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,stochastic_emd_uniform,M2_exact_log_language >= M3_larger_than_log,1.0,0.8333333333333334,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,stochastic_js_power_law_prior,M2_exact_log_language >= M3_larger_than_log,1.0,0.6887218755408673,non_increasing,True,pass
precision_vs_fitness_three_models,A2_subcase_M2_ge_M3,stochastic_js_uniform,M2_exact_log_language >= M3_larger_than_log,1.0,0.6887218755408673,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,LMP_geometric_lambda_0.7,M1_exact_log_language >= M2_larger_language,1.0,0.48065161244420673,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,LMP_power_law_alpha_2.0,M1_exact_log_language >= M2_larger_language,1.0,0.4807721242091982,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,pm4py_fitness_alignments,M1_exact_log_language >= M2_larger_language,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",non_increasing,,not_applicable_fitness_metric
